updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2014-11-30 21:05:01.828000,fl-2001-07-17-special-primary,2001-07-17 00:00:00,2001-07-17 00:00:00,primary,certified,True,State Senate,018,,Futch,Howard,,,Republican,Brevard,ocd-division/country:us/state:fl/county:brevard,4201,,,,,2001
2014-11-30 21:05:01.828000,fl-2001-07-17-special-primary,2001-07-17 00:00:00,2001-07-17 00:00:00,primary,certified,True,State Senate,018,,Swann,Jim,,,Republican,Brevard,ocd-division/country:us/state:fl/county:brevard,3680,,,,,2001
2014-11-30 21:05:01.828000,fl-2001-07-17-special-primary,2001-07-17 00:00:00,2001-07-17 00:00:00,primary,certified,True,State Senate,018,,Bryan,Glenn,,,Republican,Brevard,ocd-division/country:us/state:fl/county:brevard,4901,,,,,2001
2014-11-30 21:05:01.828000,fl-2001-07-17-special-primary,2001-07-17 00:00:00,2001-07-17 00:00:00,primary,certified,True,State Senate,018,,Futch,Howard,,,Republican,Osceola,ocd-division/country:us/state:fl/county:osceola,539,,,,,2001
2014-11-30 21:05:01.828000,fl-2001-07-17-special-primary,2001-07-17 00:00:00,2001-07-17 00:00:00,primary,certified,True,State Senate,018,,Swann,Jim,,,Republican,Osceola,ocd-division/country:us/state:fl/county:osceola,970,,,,,2001
2014-11-30 21:05:01.828000,fl-2001-07-17-special-primary,2001-07-17 00:00:00,2001-07-17 00:00:00,primary,certified,True,State Senate,018,,Bryan,Glenn,,,Republican,Osceola,ocd-division/country:us/state:fl/county:osceola,1437,,,,,2001
2014-11-30 21:05:01.828000,fl-2001-07-17-special-primary,2001-07-17 00:00:00,2001-07-17 00:00:00,primary,certified,True,State Senate,018,,O'Horo,Kris,,M.,Democrat,Brevard,ocd-division/country:us/state:fl/county:brevard,954,,,,,2001
2014-11-30 21:05:01.828000,fl-2001-07-17-special-primary,2001-07-17 00:00:00,2001-07-17 00:00:00,primary,certified,True,State Senate,018,,Easley,Lance,,,Democrat,Brevard,ocd-division/country:us/state:fl/county:brevard,2016,,,,,2001
2014-11-30 21:05:01.828000,fl-2001-07-17-special-primary,2001-07-17 00:00:00,2001-07-17 00:00:00,primary,certified,True,State Senate,018,,O'Horo,Kris,,M.,Democrat,Osceola,ocd-division/country:us/state:fl/county:osceola,757,,,,,2001
2014-11-30 21:05:01.828000,fl-2001-07-17-special-primary,2001-07-17 00:00:00,2001-07-17 00:00:00,primary,certified,True,State Senate,018,,Easley,Lance,,,Democrat,Osceola,ocd-division/country:us/state:fl/county:osceola,740,,,,,2001
