updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2014-11-30 20:54:47.655000,fl-2007-02-27-special-general,2007-02-27 00:00:00,2007-02-27 00:00:00,general,certified,True,State Representative,003,,Ford,C.,,V. (Clay),Republican,Escambia,ocd-division/country:us/state:fl/county:escambia,6301,,,,,2007
2014-11-30 20:54:47.655000,fl-2007-02-27-special-general,2007-02-27 00:00:00,2007-02-27 00:00:00,general,certified,True,State Representative,003,,Ford,C.,,V. (Clay),Republican,Santa Rosa,ocd-division/country:us/state:fl/county:santa_rosa,1027,,,,,2007
2014-11-30 20:54:47.655000,fl-2007-02-27-special-general,2007-02-27 00:00:00,2007-02-27 00:00:00,general,certified,True,State Representative,003,,Campbell,Elizabeth,,,Democrat,Escambia,ocd-division/country:us/state:fl/county:escambia,5614,,,,,2007
2014-11-30 20:54:47.655000,fl-2007-02-27-special-general,2007-02-27 00:00:00,2007-02-27 00:00:00,general,certified,True,State Representative,003,,Campbell,Elizabeth,,,Democrat,Santa Rosa,ocd-division/country:us/state:fl/county:santa_rosa,249,,,,,2007
