updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,Ratten,Robert,,,Write-In,Volusia,ocd-division/country:us/state:fl/county:volusia,0,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,"Bryanton, Jr.",Alden,,Lawrence Antin,Write-In,Volusia,ocd-division/country:us/state:fl/county:volusia,0,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,Rosso,John,,P.,Write-In,Volusia,ocd-division/country:us/state:fl/county:volusia,7,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,Ratten,Robert,,,Write-In,St. Johns,ocd-division/country:us/state:fl/county:st._johns,14,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,"Bryanton, Jr.",Alden,,Lawrence Antin,Write-In,St. Johns,ocd-division/country:us/state:fl/county:st._johns,32,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,Rosso,John,,P.,Write-In,St. Johns,ocd-division/country:us/state:fl/county:st._johns,31,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,Ratten,Robert,,,Write-In,Nassau,ocd-division/country:us/state:fl/county:nassau,3,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,"Bryanton, Jr.",Alden,,Lawrence Antin,Write-In,Nassau,ocd-division/country:us/state:fl/county:nassau,2,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,Rosso,John,,P.,Write-In,Nassau,ocd-division/country:us/state:fl/county:nassau,3,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,Ratten,Robert,,,Write-In,Flagler,ocd-division/country:us/state:fl/county:flagler,7,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,"Bryanton, Jr.",Alden,,Lawrence Antin,Write-In,Flagler,ocd-division/country:us/state:fl/county:flagler,41,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,Rosso,John,,P.,Write-In,Flagler,ocd-division/country:us/state:fl/county:flagler,12,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,Ratten,Robert,,,Write-In,Duval,ocd-division/country:us/state:fl/county:duval,12,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,"Bryanton, Jr.",Alden,,Lawrence Antin,Write-In,Duval,ocd-division/country:us/state:fl/county:duval,8,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,Rosso,John,,P.,Write-In,Duval,ocd-division/country:us/state:fl/county:duval,29,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,Thrasher,John,,,Republican,Volusia,ocd-division/country:us/state:fl/county:volusia,781,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,Thrasher,John,,,Republican,St. Johns,ocd-division/country:us/state:fl/county:st._johns,2135,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,Thrasher,John,,,Republican,Nassau,ocd-division/country:us/state:fl/county:nassau,609,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,Thrasher,John,,,Republican,Flagler,ocd-division/country:us/state:fl/county:flagler,1289,,,,,2009
2014-11-30 20:58:33.060000,fl-2009-10-06-special-general,2009-10-06 00:00:00,2009-10-06 00:00:00,general,certified,True,State Senator,008,,Thrasher,John,,,Republican,Duval,ocd-division/country:us/state:fl/county:duval,5443,,,,,2009
