updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2014-12-04 16:10:00.298000,fl-2011-02-08-special-primary,2011-02-08 00:00:00,2011-02-08 00:00:00,primary,certified,True,State Representative,103,,Watson,Barbara,,,Democrat,Miami-Dade,ocd-division/country:us/state:fl/county:miami-dade,1638,,,,,2011
2014-12-04 16:10:00.298000,fl-2011-02-08-special-primary,2011-02-08 00:00:00,2011-02-08 00:00:00,primary,certified,True,State Representative,103,,Watson,Barbara,,,Democrat,Broward,ocd-division/country:us/state:fl/county:broward,121,,,,,2011
2014-12-04 16:10:00.298000,fl-2011-02-08-special-primary,2011-02-08 00:00:00,2011-02-08 00:00:00,primary,certified,True,State Representative,103,,Pritchett,Sharon,,,Democrat,Miami-Dade,ocd-division/country:us/state:fl/county:miami-dade,1707,,,,,2011
2014-12-04 16:10:00.298000,fl-2011-02-08-special-primary,2011-02-08 00:00:00,2011-02-08 00:00:00,primary,certified,True,State Representative,103,,Pritchett,Sharon,,,Democrat,Broward,ocd-division/country:us/state:fl/county:broward,34,,,,,2011
2014-12-04 16:10:00.298000,fl-2011-02-08-special-primary,2011-02-08 00:00:00,2011-02-08 00:00:00,primary,certified,True,State Representative,103,,Ighodaro,Erhabor,,,Democrat,Miami-Dade,ocd-division/country:us/state:fl/county:miami-dade,674,,,,,2011
2014-12-04 16:10:00.298000,fl-2011-02-08-special-primary,2011-02-08 00:00:00,2011-02-08 00:00:00,primary,certified,True,State Representative,103,,Ighodaro,Erhabor,,,Democrat,Broward,ocd-division/country:us/state:fl/county:broward,49,,,,,2011
2014-12-04 16:10:00.298000,fl-2011-02-08-special-primary,2011-02-08 00:00:00,2011-02-08 00:00:00,primary,certified,True,State Senator,033,,Reaves,Darryl,,Franklin,Democrat,Miami-Dade,ocd-division/country:us/state:fl/county:miami-dade,882,,,,,2011
2014-12-04 16:10:00.298000,fl-2011-02-08-special-primary,2011-02-08 00:00:00,2011-02-08 00:00:00,primary,certified,True,State Senator,033,,"Bush, III",James,,,Democrat,Miami-Dade,ocd-division/country:us/state:fl/county:miami-dade,1235,,,,,2011
2014-12-04 16:10:00.298000,fl-2011-02-08-special-primary,2011-02-08 00:00:00,2011-02-08 00:00:00,primary,certified,True,State Senator,033,,Brutus,Phillip,,J.,Democrat,Miami-Dade,ocd-division/country:us/state:fl/county:miami-dade,3893,,,,,2011
2014-12-04 16:10:00.298000,fl-2011-02-08-special-primary,2011-02-08 00:00:00,2011-02-08 00:00:00,primary,certified,True,State Senator,033,,"Braynon,, II",Oscar,,,Democrat,Miami-Dade,ocd-division/country:us/state:fl/county:miami-dade,4320,,,,,2011
