updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2014-11-30 21:10:29.982000,fl-2000-04-11-special-primary,2000-04-11 00:00:00,2000-04-11 00:00:00,primary,certified,True,State Representative,086,,Brown,Bob,,,Republican,Palm Beach,ocd-division/country:us/state:fl/county:palm_beach,222,,,,,2000
2014-11-30 21:10:29.982000,fl-2000-04-11-special-primary,2000-04-11 00:00:00,2000-04-11 00:00:00,primary,certified,True,State Representative,086,,Schmidt,Fred,,,Republican,Palm Beach,ocd-division/country:us/state:fl/county:palm_beach,204,,,,,2000
2014-11-30 21:10:29.982000,fl-2000-04-11-special-primary,2000-04-11 00:00:00,2000-04-11 00:00:00,primary,certified,True,State Representative,086,,Kanjian,Robert,,J.,Republican,Palm Beach,ocd-division/country:us/state:fl/county:palm_beach,318,,,,,2000
2014-11-30 21:10:29.982000,fl-2000-04-11-special-primary,2000-04-11 00:00:00,2000-04-11 00:00:00,primary,certified,True,State Representative,086,,Kalish,Allan,,,Democrat,Palm Beach,ocd-division/country:us/state:fl/county:palm_beach,343,,,,,2000
2014-11-30 21:10:29.982000,fl-2000-04-11-special-primary,2000-04-11 00:00:00,2000-04-11 00:00:00,primary,certified,True,State Representative,086,,Bucher,Susan,,,Democrat,Palm Beach,ocd-division/country:us/state:fl/county:palm_beach,1678,,,,,2000
2014-11-30 21:10:29.982000,fl-2000-04-11-special-primary,2000-04-11 00:00:00,2000-04-11 00:00:00,primary,certified,True,State Representative,086,,Weaver,Bonnie,,,Democrat,Palm Beach,ocd-division/country:us/state:fl/county:palm_beach,1233,,,,,2000
2014-11-30 21:10:29.982000,fl-2000-04-11-special-primary,2000-04-11 00:00:00,2000-04-11 00:00:00,primary,certified,True,State Representative,086,,Washington,William 'Bill',,,Democrat,Palm Beach,ocd-division/country:us/state:fl/county:palm_beach,157,,,,,2000
